created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2024-05-14T14:06:27+00:00,173,29,68,0,2,6,0,,,,
2024-05-14T14:07:39+00:00,174,29,68,0,2,6,0,,,,
2024-05-14T14:08:03+00:00,175,29,68,0,2,6,0,,,,
2024-05-14T14:08:26+00:00,176,29,68,0,2,6,0,,,,
2024-05-14T14:08:45+00:00,177,29,68,0,2,6,0,,,,
2024-05-14T14:09:04+00:00,178,29,68,0,2,5,0,,,,
2024-05-14T14:09:29+00:00,179,29,68,0,2,6,0,,,,
2024-05-14T14:09:51+00:00,180,29,68,0,2,6,0,,,,
2024-05-14T14:10:10+00:00,181,29,68,0,2,6,0,,,,
2024-05-14T14:10:48+00:00,182,29,68,0,1,9,4.14762,,,,
2024-05-14T14:14:23+00:00,183,29,68,0,1,-7,0,,,,
2024-05-14T14:15:03+00:00,184,29,69,0,1,-9,0,,,,
2024-05-14T14:15:22+00:00,185,29,69,0,4,6,0,,,,
2024-05-14T14:29:47+00:00,186,30,69,0,4,5,0,,,,
2024-05-14T14:30:02+00:00,187,29,71,0,4,4,4.26858,,,,
2024-05-14T14:30:25+00:00,188,29,70,0,4,4,0,,,,
2024-05-14T14:30:48+00:00,189,29,70,64,4,4,0,,,,
2024-05-14T14:31:05+00:00,190,29,70,0,4,4,0,,,,
2024-05-20T09:27:50+00:00,191,28,73,0,9,4,0,,,,
2024-05-20T09:28:33+00:00,192,28,73,57,9,5,0,,,,
2024-05-20T09:28:50+00:00,193,28,73,16,9,5,0,,,,
2024-05-20T09:29:07+00:00,194,28,73,0,8,6,2.47176,,,,
2024-05-20T09:30:27+00:00,195,0,0,16,0,5,0,,,,
2024-05-20T09:30:44+00:00,196,0,0,26,0,5,0,,,,
2024-05-20T09:31:02+00:00,197,0,0,48,0,5,0,,,,
2024-05-20T09:38:37+00:00,198,29,67,0,0,-7,0,,,,
2024-05-20T09:39:20+00:00,199,29,75,0,0,-6,0,,,,
2024-05-20T09:39:38+00:00,200,28,76,0,1,-6,0,,,,
2024-05-21T08:41:30+00:00,201,28,76,0,0,11,0,,,,
2024-05-21T08:41:51+00:00,202,28,76,0,0,9,0,,,,
2024-05-21T08:42:10+00:00,203,28,76,0,1,10,0,,,,
2024-05-21T08:42:29+00:00,204,28,76,0,2,9,0,,,,
2024-05-21T08:42:49+00:00,205,28,77,0,0,9,0,,,,
2024-05-21T08:43:27+00:00,206,28,77,0,0,9,0,,,,
2024-05-21T08:43:47+00:00,207,28,77,0,2,4,10.2923,,,,
2024-05-21T08:44:08+00:00,208,28,77,0,0,10,0,,,,
2024-05-21T08:44:38+00:00,209,28,78,0,0,10,0,,,,
2024-05-21T08:45:12+00:00,210,28,79,0,0,9,0,,,,
2024-05-21T08:45:31+00:00,211,28,79,0,0,9,0,,,,
2024-05-21T08:45:54+00:00,212,28,79,0,0,9,0,,,,
2024-05-21T08:46:14+00:00,213,28,79,0,0,9,0,,,,
2024-05-21T08:46:33+00:00,214,28,79,0,1,9,0,,,,
2024-05-21T08:46:53+00:00,215,28,79,0,1,9,0,,,,
2024-05-21T08:47:21+00:00,216,28,79,0,1,9,0,,,,
2024-05-21T08:47:51+00:00,217,28,79,0,1,9,4.83723,,,,
2024-05-21T08:48:15+00:00,218,28,79,0,2,9,0,,,,
2024-05-21T08:48:30+00:00,219,28,80,0,3,9,0,,,,
2024-05-21T08:48:51+00:00,220,28,80,0,0,8,32.46079,,,,
2024-05-21T08:49:11+00:00,221,28,80,0,0,10,0,,,,
2024-05-21T09:06:26+00:00,222,28,80,0,5,7,0,,,,
2024-05-21T09:06:46+00:00,223,28,80,0,5,7,0,,,,
2024-05-21T09:07:08+00:00,224,28,80,45,4,9,0,,,,
2024-05-21T09:07:27+00:00,225,28,80,0,0,11,12.29559,,,,
2024-05-21T09:07:59+00:00,226,28,80,0,0,10,7.00457,,,,
2024-05-21T09:08:22+00:00,227,28,80,2,-1,11,0,,,,
